title,url,price,avg_review,num_reviews,desc_text,desc_list,prod_category
"Nintendo Switch Lite Console, Turquoise",https://www.walmart.com/ip/Nintendo-Switch-Lite-Console-Turquoise/306029956,199.00,4.6,1233,"Introducing Nintendo Switch Lite, a new version of the Nintendo Switch system that's optimized for personal, handheld play. Nintendo Switch Lite is a small and light Nintendo Switch system at a great price. With a built-in +Control Pad, and a sleek, unibody design, Nintendo Switch Lite is great for on-the-go gaming. Nintendo Switch Lite is compatible with popular games such as Super Mario Odyssey, Mario Kart 8 Deluxe, Super Smash Bros. Ultimate, The Legend of Zelda: Breath of the Wild, and more. If you're looking for a gaming system all your own, Nintendo Switch Lite is ready to hit the road whenever you are.Handheld Nintendo Switch gaming at a great price; For every member of your family, there's a member of ours; Optimized for personal, handheld play, Nintendo Switch Lite is a small and light Nintendo Switch system; Features a sleek, unibody design with fully integrated controls and a built-in +Control Pad; Compatible with all physical and digital Nintendo Switch games that support Handheld mode",,Video Games
Hotels.com $200 Gift Card (email Delivery),https://www.walmart.com/ip/Hotels-com-200-Gift-Card-email-Delivery/530562791,200.00,4.3,26,"The Hotels.com Gift Card is redeemable on bookings at over 220,000 hotels in 200 countries worldwide, ranging from international chains and all-inclusive resorts to local favorites and bed & breakfasts. Redeemable on Hotels.com, the Hotels.com Gift Card can be used in conjunction with member-only-deals and promotions. Bookings with the Hotels.com Gift Card count toward free nights with Hotels.com® Rewards where customers can earn a free* night for every 10 nights stayed. For more information visit www.hotels.com/giftcards or e-mail giftcards@hotels.com. *Subject to Hotels.com Rewards terms and conditions, as set out at www.Hotels.com. To view frequently asked questions about this product visit www.e-deliverygroup.com/faq There are no returns or refunds on electronically fulfilled PIN numbers.Walmart.com is not responsible for stolen or misplaced PINs. *Pins are usually delivered in minutes or, at most, within 48 hours depending on additional order validation required by Wal-Mart or your Credit Card company. You will receive a confirmation email from Walmart.com within minutes of successful order placement. A second email from walmartonline@e-deliverygroup.com with access to your PIN will be delivered within 60 minutes* If you have issues receiving your email, go to the following webpage to access your purchase: www.walmart.e-deliverygroup.com. Enter your email address used to order on Walmart.com, your billing ZIP code and your Walmart.com Order Number (your order number can be found on your confirmation email from Walmart.com or in your Account Order History on Walmart.com).Hotels.com $200 (email delivery)",,Gifts & Registry
"Serta Big & Tall Bonded Leather Commercial Office Chair with Memory Foam, Black",https://www.walmart.com/ip/Serta-Big-Tall-Bonded-Leather-Commercial-Office-Chair-with-Memory-Foam-Black/52657563,169.00,4.4,933,,,Home
"OVERPOWERED Gaming Laptop 17+, 2 Year Warranty, 144Hz, Intel i7-8750H, NVIDIA GeForce GTX 1060, Mechanical LED Keyboard, 256 SSD, 2TB HDD, 32GB RAM, Windows 10",https://www.walmart.com/ip/OVERPOWERED-17-3-Gaming-Laptop/887474519,1699.00,4.0,95,"Maximize your gaming potential with the OVERPOWERED Gaming Laptop 17+. It features the same 144Hz screen as the OVERPOWERED Gaming Laptop 15 but kicks things into high gear with an Intel i7 CPU for even faster processing. It also packs 16GB of RAM, which further boosts memory and response time. This 144hz gaming laptop displays impressive graphics thanks to the NVIDIA GeForce GTX 1060 GPU. A 1TB HDD and double-sized 256GB SSD provide vast storage space for multiple games and other important data. Control your characters and type out messages using a mechanical keyboard also designed with stylish LED lighting. A suitable desktop replacement notebook, the OVERPOWERED Gaming Laptop 17+ features SD card slots and multiple USB ports for easy data transfers.","17.3"" 144Hz screen,Intel i7-8750H CPU with 2.20 GHz speed,NVIDIA GeForce GTX 1060 GPU with 6GB VRAM,Mechanical RGB LED keyboard,32GB RAM with 2667 MHz speed,2TB HDD,256GB SSD,Windows 10 pre-installed on Overpowered laptop 17,1080p/ 144Hz screen,VR ready,2 year warranty,1x USB 2.0, 2x USB 3.0, 1x USB C ports,1x SD card slot,1x HDMI slot,2 Mini display port,15.5"" x 10"" x 1"",5.65lbs",Video Games
"Avery Circle Labels, Sure Feed, 2"", 60 Glossy Labels (22817)",https://www.walmart.com/ip/Avery-Circle-Labels-Sure-Feed-2-60-Glossy-Labels-22817/19400053?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:me8h1w9OOQTixjw0nb32tSunUsdE1B1ZYtLZZFYHkgceuWPUz0h2CuZcv6qa90HAgQSJ6odAn4kKNkJmVifRIOVC6WtSH1OO11cSjOCFKQfP5jKvxCOc5PSwd8dI3xfZ3aFZCMVRxXNGYPCn89XFvVZpxChji9eHtgdxMJKBOnFDA8GlqWKczoXeMRIqHmG-lNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=1&wpa_plmt=__plmt__&wpa_aduid=__aduid__,6.05,4.6,182,"Create a premium appearance in an instant with Avery glossy white labels. Great for pantry organization and storage. This eye-catching material adds a beautiful sheen that helps your print appear brighter and sharper. These sheets also feature exclusive Avery Sure Feed technology to improve print alignment and avoid paper jams. The textured, blue strip on the top of each sheet provides better grip for your printer rollers and helps feed each page accurately. The permanent adhesive makes sure that the labels hold fast to multiple surfaces including paper, cardboard, plastic, glass, painted metals and film. The unique Easy Peel label design also lets you apply labels as fast as you need them. Just fold the sheet back to display the Pop-Up Edge for convenient and quick peeling. The print-to-the-edge layout also lets you create borderless designs that fill the entire label. Avery Design & Print also makes it easy to create beautiful, personalized labels from your office or home. The free browser-based software has all of the tools you need to make planner labels, wedding labels, teacher stickers, candy jar labels and more. Try it out today at avery.com/templates.","Use glossy, white round labels to create elegant looking thank you gifts and for home organization.,Personalize bottle labels, mason jar labels, labels for bins and more using the free online templates found at avery.com/templates.,Print round labels with full-bleed designs as the print-to-the-edge feature allows you to print text, colors and images right to the edge of the label without a border or outline.,Sure Feed technology provides a more reliable feed through your printer, preventing jams and misalignments.,Permanent adhesive keeps these round stickers secure on multiple surfaces so they won't peel, curl, or fall off.",Office Supplies
"Coral Crepe Paper Streamer, 81 ft, 1ct",https://www.walmart.com/ip/Coral-Crepe-Paper-Streamer-81-ft-1ct/55395356,1.98,4.4,126,Brighten up your special celebration with our Crepe Paper Coral Streamers. Our coral party supplies are sweet as can be for a baby shower. Wrap a length of streamers around banisters and pillars or drape swirls of streamers across a doorway. You can even tape strips of streamers around the edges of a table to create a fringe or fasten the strips on top of a door frame like a funky door curtain. Another fun party decorating idea is using streamers to make a fancy tented ceiling look. Get in touch with your creative side with our classic party streamers and matching coral party supplies.,"1 Roll of Crepe Paper Coral Streamers,Coral Party Streamers measure 81ft,Tape strands across a doorway, wrap around a banister, or decorate a wall,Ideal for a birthday party or bridal shower,Combine with more coral party supplies",Party & Occasions
"Tissue Paper Fan Decorations, 6 in, Gold, 3ct",https://www.walmart.com/ip/Tissue-Paper-Fan-Decorations-6-in-Gold-3ct/50017934,2.73,,0,"Your guests will be in awe when they see your party space dressed up with these Mini Gold Tissue Paper Party Decorations. They are easy to hang with tape, staples or thumbtacks and look fantastic above a table or as part of a wall display. The tissue paper fan flowers are fitting decor for monumental celebrations, including a wedding, a New Year's Eve party, a graduation or an anniversary party. You can also use them to add a decorative touch to a baby shower, birthday celebration, reunion and much more. They come with three to a pack and each one measures 26"" in length. The flowers include an attached string for hanging and adhesive to keep the paper rosette open during the celebration. Coordinate them with other gold party supplies and party decorations.","Package of 3 Mini Gold Tissue Paper Fan Decorations,Mini Gold Tissue Paper Fans measure 6"",These Gold Tissue Paper Decorations are a stylish addition to a New Years Eve party, a wedding, a Christmas party or Mardi Gras party,Include an attached string for easy hanging and adhesive to keep the paper rosette open,Coordinate with other Gold party supplies and party decorations",Party & Occasions
Epson 502 EcoTank Color Combo Pack Auto-Stop Ink Bottles,https://www.walmart.com/ip/Epson-502-EcoTank-Color-Combo-Pack-Auto-Stop-Ink-Bottles/605343702,28.50,4.3,31,"Epson genuine ink compatible with ET-2700, ET-2750, ET-3700, ET-3750, ET-4750, ET-2760, ET-3710, ET-3760, ET-4760Epson 502 EcoTank Color Combo Pack Auto-Stop Ink Bottles",,Electronics
"Everyday Essentials All-Purpose 1/2-Inch High Density Foam Exercise Yoga Mat Anti-Tear with Carrying Strap, Blue",https://www.walmart.com/ip/Everyday-Essentials-All-Purpose-1-2-Inch-High-Density-Foam-Exercise-Yoga-Mat-Anti-Tear-with-Carrying-Strap-Blue/275846958,19.97,4.7,1377,"Everyday Essentials All-Purpose 1/2-Inch Exercise Yoga Mat Anti-Tear with Carrying Strap, Blue",,Sports & Outdoors
"HP Stream 14 Laptop, Intel Celeron N4000, 4GB SDRAM, 32GB eMMC, Office 365 1-yr, Brilliant Black",https://www.walmart.com/ip/HP-Stream-14-Laptop-Intel-Celeron-N4000-4GB-SDRAM-32GB-eMMC-Office-365-1-yr-Brilliant-Black/470907822,297.98,3.6,247,"Portable, stylish design: With a thin, lightweight design and bold, bright colors, this laptop was never meant to stand still. It travels easily and comes in a vibrant, non-traditional color for a uniquely personal look. Windows 10 Home in S mode and Office 365 Personal included: Experience the most secure Windows ever built, streamlined for security and superb performance. Add in full access to Microsoft Excel, Word, PowerPoint, OneNote, Access, and 60 Skype minutes per month for one year, plus 1TB OneDrive cloud storage for one year for improved productivity. Connect and go: The improved 802.11 ac 2x2 Wi-Fi antenna delivers a stronger, more reliable Internet connection than before and with up to 14 hours and 15 minutes of video playback battery life, you'll enjoy enhanced streaming, fast downloads, and smooth web surfing all day. This item was manufactured in 2019.Key specifications  ","Operating system: Windows 10 Home in S mode ,Subscription: Office 365 Personal 1-year Processor: IntelÂ® CeleronÂ® N4000,Display: 14.0-inch diagonal HD SVA BrightView WLED-backlit (1366 x 768)Â ,ÂÂ Memory: 4 GB DDR4-2400 SDRAM (1 x 4 GB),Internal storage: 32 GB eMMCÂÂ ,Graphics: IntelÂÂÂÂ® UHD Graphics 600ÂÂ ,Battery life: Up to 14 hours and 15 minutes (video playback) Up to 11 hours and 30 minutes (wireless streaming)ÂÂ ,Wireless: Realtek 802.11b/g/n/ac (2x2) BluetoothÂÂÂÂ® 4.2 combo (MU-MIMO supported)ÂÂ ,Camera: HP Webcam with integrated digital microphoneÂÂ ,Product weight: 3.17 lb,Hard Drive 32GB eMMC",Electronics
