title,url,price,avg_review,num_reviews,desc_text,desc_list,prod_category
"Nintendo Switch Lite Console, Turquoise",https://www.walmart.com/ip/Nintendo-Switch-Lite-Console-Turquoise/306029956,199.00,4.6,1235,"Introducing Nintendo Switch Lite, a new version of the Nintendo Switch system that's optimized for personal, handheld play. Nintendo Switch Lite is a small and light Nintendo Switch system at a great price. With a built-in +Control Pad, and a sleek, unibody design, Nintendo Switch Lite is great for on-the-go gaming. Nintendo Switch Lite is compatible with popular games such as Super Mario Odyssey, Mario Kart 8 Deluxe, Super Smash Bros. Ultimate, The Legend of Zelda: Breath of the Wild, and more. If you're looking for a gaming system all your own, Nintendo Switch Lite is ready to hit the road whenever you are.Handheld Nintendo Switch gaming at a great price; For every member of your family, there's a member of ours; Optimized for personal, handheld play, Nintendo Switch Lite is a small and light Nintendo Switch system; Features a sleek, unibody design with fully integrated controls and a built-in +Control Pad; Compatible with all physical and digital Nintendo Switch games that support Handheld mode",,Video Games
LEGO Super Mario Builder Mario Power-Up Pack 71373 Building Toy Outfit Expansion for Kids (10 Pieces),https://www.walmart.com/ip/LEGO-Super-Mario-Builder-Mario-Power-Up-Pack-71373-Building-Toy-Outfit-Expansion-for-Kids-10-Pieces/396349998,19.93,4.2,5,"LEGO Super Mario players can stomp their way to a higher score with this Builder Mario Power-Up Pack (71373). When LEGO Mario is wearing this interactive costume upgrade, the player can earn digital coins by making him stomp on their brick-built course. This building set makes a great gift toy for kids who own the Adventures with Mario Starter Course (71360), which includes the LEGO Mario figure. There are illustrated building instructions in the box and on the free LEGO Super Mario app. The app also offers a safe platform for kids to share their creations with others, plus inspiration for creative ways to build and play and other fun features. Collectible LEGO Super Mario toy playsets bring a unique, iconic character into the real world and nurture problem-solving creativity. The modular Starter Course and Expansion Sets, plus Power-Up Packs, allow fans to build their own levels for fun competitions with friends or solo games.","Kids can enjoy brick-stomping, coin-collecting LEGO Super Mario gameplay with this Builder Mario Power-Up Pack (71373), featuring an interactive outfit for LEGO Mario figure to wear,The buildable costume fits on the LEGO Mario figure that is included in the Adventures with Mario Starter Course (71360) toy playset to boost the in-game possibilities,When LEGO Mario (figure not included) is wearing this outfit expansion pack, a player can earn digital coins by making him stomp hard on LEGO bricks in the course they have created,This 10-piece LEGO building toy set makes a fabulous birthday or holiday gift for kids and fans aged 6 and up, adding yet more play options to their Adventures with Mario Starter Course (71360) and Expansion Sets,Other LEGO Mario upgrades are available to combine with the Starter Course and Expansion Sets, including the Fire Mario Power-Up Pack (71370), Propeller Power-Up Pack (71371) and Cat Mario Power-Up Pack (71372)",Toys
"Blue’s Clues & You! Deluxe Water Squirter Set, 8-pieces, Ages 3 +",https://www.walmart.com/ip/Blue-s-Clues-You-Deluxe-Water-Squirter-Set-8-pieces-Ages-3/684852597,24.88,4.9,19,"Splish-splash into the bath with the Blue’s Clues & You! Water Squirters. Just fill these characters from Nickelodeon’s Blue’s Clues & You! with water and squeeze. Make bath time into playtime with this eight-piece set including Blue, Magenta, Slippery Soap, Shovel & Pail, Mr. Salt & Mrs. Pepper, Paprika, Mailbox, and Tickety Tock. Bring home the Blue’s Clues & You! Deluxe Water Squirter Set and the rest of the Blue’s Clues & You! toys to help your little clue-finder use their mind, take a step at a time, and do anything that they want to do. Ages 3+","Eight-piece set includes Blue, Magenta, Slippery Soap, Shovel & Pail, Mr. Salt & Mrs. Pepper, Paprika, Mailbox, and Tickety Tock.,Colors may vary. ,Fill these adorable Blue’s Clues & You! characters with water for a fun and silly bath time!,Squeeze to activate water-squirting action.,Ages 3+",Toys
"Jumbo Blocks Standard Building Set, 96-Piece",https://www.walmart.com/ip/Jumbo-Blocks-Standard-Building-Set-96-Piece/21650741,161.71,4.3,33,"This Jumbo Blocks Standard Kids' Building Set makes plenty of shapes: vehicles, robots, animals, airplanes and more. The options are endless. Large 8"" x 4"" blocks are great for little hands to hold and feature soft, rounded edges for safe play. Easily slot the pieces of this toy building set into one another to create custom shapes and structures. They are safe for young children and fun for everyone. This building set is an excellent tool for helping children to develop hand-eye coordination and enhance motor skills. The 96-piece building blocks for kids set comes in a wide variety of colors, enhancing the look of the created products. Add additional Jumbo Blocks accessories, or combine this set with existing collections for even more fun.","96 jumbo-size, colorful interlocking blocks,Each block measures 8"" x 4"",This toy building set comes with pieces that have soft, rounded edges for safe play,Helps to develop hand-eye coordination and enhance motor skills",Toys
"Mega Bloks Sesame Street Let's Build Sesame Street with Big Building Blocks, Building Toys for Toddlers (70 Pieces)",https://www.walmart.com/ip/Mega-Bloks-Sesame-Street-Let-s-Build-Sesame-Street-with-Big-Building-Blocks-Building-Toys-for-Toddlers-70-Pieces/535084955,19.73,3.8,23,"Build and learn with some of your favorite friends from Sesame Street! Your little one can learn their ABCs when they build with 70 big, colorful blocks featuring alphabet and character-themed decoration. Learn as you grow when you stack the lettered building blocks together to spell out names like ""Cookie Monster,"" ""Elmo,"" ""Abby,"" and ""Big Bird."" Or, match the characters with their favorite objects! When you're done, cleanup is quick and easy with the included storage bag.","Age Range: 1 to 5 Years,70-piece Sesame Street-themed playset,Building blocks feature letters and Sesame Street characters,Help learn your ABCs!,Learn to match character names and pictures,Perfect for little hands,Storage bag for quick and easy cleanup,Build and rebuild different ways",Toys
"LeapFrog LeapBuilders 81-Piece Jumbo Box, Learning Blocks Toy for Kids",https://www.walmart.com/ip/LeapFrog-LeapBuilders-81-Piece-Jumbo-Box-Learning-Blocks-Toy-for-Kids/210809144,17.97,4.9,37,"Get creative with the LeapBuilders 81-Piece Jumbo Blocks Box! Build, create and learn with this 81-piece block set. Kids can build using the easy-to-hold building blocks and double-sided learning blocks that feature letters and objects to build animals, vehicles, towers and more. For even more fun, combine with other LeapBuilders sets (sold separately) that include an electronic Smart Star cube. Insert the 13 double-sided learning blocks into the interactive Smart Star and it will respond with fun sounds, educational songs and encouraging phrases that enhance building play with learning content. When you're done, store everything inside the box. Get building with smart blocks for smart kids! Intended for ages 2+.","81-piece set has everything to build animals, vehicles, towers and more. Build on top of the lid and store everything inside when you’re done,Combine with sets (sold separately) that include an electronic Smart Star cube for music and phrases that enhance building play with learning content,Insert the 13 double-sided learning blocks into an interactive Smart Star to hear learning phrases about letters and objects,Electronic Smart Star cube not included,Intended for ages 2+",Toys
Monopoly Super Electronic Banking Board Game For Kids Ages 8+,https://www.walmart.com/ip/Monopoly-Super-Electronic-Banking-Board-Game-For-Kids-Ages-8/338397658,24.86,4.7,24,"Monopoly Super Electronic Banking Board Game, Electronic Banking Unit, Choose Your Rewards, Cashless Gameplay Tap Technology, for Ages 8 and Up","GET REWARDS BACK: Choose your rewards! Each token in the Monopoly Super Electronic Banking board game has a matching bank card that offers a unique reward by performing a certain action in the game,BANKING UNIT: The Monopoly Super Electronic Banking board game features an all-in-one banking unit with tap technology that makes gameplay faster than the classic Monopoly game,FLIGHT SPACES: Instead of purchasing railroads in this edition of the Monopoly game, players can choose to take a flight to any property on the gameboard,GET INTO TRADING SPACES: Land on a Forced Trade space? Choose any property and immediately trade it for your choice of any other player's property,GREAT FAMILY GAME: This Monopoly board game is fun for families and kids ages 8 and up. Get together for family game night and watch kids enjoy being in charge of their own banking card,Includes gameboard, banking unit, 4 plastic token, 4 bank cards, 16 Title Deed cards, 20 Chance cards, 4 Reference cards, 1 die, and game guide.,Ages 8 and up,For 2 to 4 players.,Requires 3 x 1.5V AAA alkaline batteries. (Batteries not included.)",Toys
K'NEX Beasts Alive - K'NEXosaurus Rex Building Set - 255 Pieces - Ages 7 Engineering Educational Toy,https://www.walmart.com/ip/K-NEX-Beasts-Alive-K-NEXosaurus-Rex-Building-Set-255-Pieces-Ages-7-Engineering-Educational-Toy/46605912,51.43,5.0,9,"Bring the Jurassic Era to life in your home! The K'NEX Imagine K'NEXosaurus Rex Building Set offers you and your children a chance to experience the amazing world of dinosaurs by creating your own. Build a K'NEXosaurus Rex with the 255 vibrant parts and pieces included in this set. All parts are well-constructed plastic. The package also includes iconic rods and connectors that snap together to make customizable figures. Children can also make alternative Beasts Alive structures with this set. It includes an additional model for a Megasaurus dinosaur. Enjoy playing with them with friends anytime you want! The K'NEX Imagine K'NEXosaurus Rex Building Set also includes a battery-powered motor to operate the structures. Watch your dinosaurs come to life! This building set also has downloadable step-by-step instructions for two motorized builds. Each STEAM toy kids can make is designed for a more exciting playtime. Promote your kids' development of STEAM (science, technology, engineering, arts, and math) concepts by igniting their natural curiosity and creativity. Building with K'NEX puts children on the path to a fundamental understanding of STEAM subjects. Let them design, construct, and customize their own K'NEX structures and enjoy hours of fun playing with them. Watch your dinosaurs come to life! Promote your kids' development of STEAM (science, technology, engineering, arts, and math) concepts by igniting their natural curiosity and creativity. Building with K'NEX puts children on the path to a fundamental understanding of STEAM subjects. Let them design, construct, and customize their own K'NEX Beasts Alive structures and enjoy hours of fun playing with them.","Build customizable figures and structures with the K'NEXosaurus Rex Building Set! This STEAM toy allows builders to explore and discover the joy of construction as they create dinosaurs that actually move! All K'NEX parts and pieces are guaranteed for a lifetime of fun.,This building set contains 255 vibrant parts and pieces, all made of plastic with high-quality construction. The package includes iconic rods and connectors that snap easily together into 3-D configurations. Turn a child's imagination into reality as you build a customizable dinosaur with K'NEX Imagine K'NEXosaurus Rex Building Set.,This engineering education toy comes with easy-to-follow instructions to guide children through their building conquests. Unleash your kids' creativity as they make their own designs for open-ended fun!,The K'NEX Imagine K'NEXosaurus Rex Building Set comes with a battery-powered motor to operate the dinosaurs. Introduce your kids to the art of building and creating and the enjoyment of seeing their own creations come to life. This toy requires two ?AA? batteries and is recommended for ages seven and up.,STEAMagination. It's the connection of STEAM (science, technology, engineering, arts & math) with a child's natural curiosity and creativity and it powers the fun of each and every K'NEX building set. Building with K'NEX puts children on a path towards a fundamental understanding of STEAM/STEM subjects.,K'NEX supports key areas of a child's developmental growth. As they click the different parts together and discover how the building system works, they're strengthening hand-eye coordination, fine motor skills, problem-solving skills, spatial awareness and exercising their imagination!,K'NEX rods and connectors are responsibly made at a landfill-free, zero-waste green manufacturing facility in Hatfield, Pennsylvania. We test to the strictest quality and safety standards, ensuring that your child has a successful, trouble-free building experience.,Broken part? Missing part? If you find yourself in need of a replacement for any reason, just give us a call! We'll get you what you need so that your child can get back to building as soon as possible. Packaging may vary.",Toys
K'NEX Imagine - 25th Anniversary Ultimate Builder's Case - Creative Building Toy,https://www.walmart.com/ip/K-NEX-Imagine-25th-Anniversary-Ultimate-Builder-s-Case-Creative-Building-Toy/863567895,82.77,4.8,8,"Help your kids learn and have fun at the same time with the Imagine 25th Anniversary Ultimate Builder’s Case from K’NEX! Engage your child in activities that bring him joy while enhancing his intellect and skills with this fun educational toy. Bring back the fun of playing without the use of digital screens with this building set that will keep your child engrossed for months! Encourage your child to build and create with the 25th Anniversary Ultimate Builder’s Case. It comes with a portable container that pays homage to the design of the original case from the 1990s. The 25th Anniversary Ultimate Builder’s Case contains over 750 brightly colored parts made of premium plastic. It includes various rods and connectors that let builders create awesome constructions ranging from simple buildings to grand structures. Spend meaningful time with your child by helping him build a fire truck, an aircraft, and much more. Let your child bring his imagination to life with this set that allows the creation of three-dimensional models. Whether he’s constructing a unique vehicle or depicting a pirate ship, this set allows a multitude of 3D configurations to help him bring his dream design to life. It comes with color-coded instructions to guide your child in creating 50 models of varying size and difficulty. Promote your children’s development of STEAM (science, technology, engineering, arts, and math) concepts by igniting their natural curiosity and creativity. Building with K’NEX puts children on the path to a fundamental understanding of STEAM subjects. Let them design, construct, and customize their own K’NEX models, and enjoy hours of fun playing and learning with them. Learning will never be as fun as it is with this 750-piece building toy set! Get your child a K’NEX 25th Anniversary Ultimate Builder’s Case today and let his creativity shine!K'NEX Imagine - 25th Anniversary Ultimate Builder's Case - Creative Building Toy",,Toys
Japanime Games JPG190 Love Battle High School Board Game,https://www.walmart.com/ip/Japanime-Games-JPG190-Love-Battle-High-School-Board-Game/742518973,31.96,,0,Love Battle High School Board Game ," 03-04 Players, 13+60 Minute Play Time",Toys
