title,url,price,avg_review,num_reviews,desc_text,desc_list,prod_category
"Nintendo Switch Lite Console, Turquoise",https://www.walmart.com/ip/Nintendo-Switch-Lite-Console-Turquoise/306029956,199.00,4.6,1235,"Introducing Nintendo Switch Lite, a new version of the Nintendo Switch system that's optimized for personal, handheld play. Nintendo Switch Lite is a small and light Nintendo Switch system at a great price. With a built-in +Control Pad, and a sleek, unibody design, Nintendo Switch Lite is great for on-the-go gaming. Nintendo Switch Lite is compatible with popular games such as Super Mario Odyssey, Mario Kart 8 Deluxe, Super Smash Bros. Ultimate, The Legend of Zelda: Breath of the Wild, and more. If you're looking for a gaming system all your own, Nintendo Switch Lite is ready to hit the road whenever you are.Handheld Nintendo Switch gaming at a great price; For every member of your family, there's a member of ours; Optimized for personal, handheld play, Nintendo Switch Lite is a small and light Nintendo Switch system; Features a sleek, unibody design with fully integrated controls and a built-in +Control Pad; Compatible with all physical and digital Nintendo Switch games that support Handheld mode",,Video Games
Costway 8000 BTU Portable Air Conditioner & Dehumidifier Function Remote w/ Window Kit,https://www.walmart.com/ip/Costway-8000-BTU-Portable-Air-Conditioner-Dehumidifier-Function-Remote-w-Window-Kit/475621529?wpa_bd=&wpa_pg_seller_id=E6EA4CDBA9CB4F54BB3775F6F818B84A&wpa_ref_id=wpaqs:Q15Kfc4aRLq69Jz-4IZwiry9k_-xADNviTRl81Y5zZjqtn9gA37kWDuLvySVDRem8mtM0fAiqNC2pvsXY646B7Q5FlQyMfZjsC6fVslWrt3qor3Vrqryegy_MjB2FLKAitDTx4Hk3-mn9BV2fxygt1kLam3XYNTd0Vdhzf84xHXO3MnZjafASnqQ8gQ4YOL-zvutgEcxFvKSYet36H1sSQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=1&wpa_plmt=__plmt__&wpa_aduid=__aduid__,279.99,4.2,172,Notice: Not sold to consumers located in California,"Offers Cooling, Dehumidify Fan And Sleep Modes, Ideal For Home And Office Use, Two Fan-Speed Level Accessible By LED Display Panel Control And Remote Control, Dehumidification up to 50 pints per 24 hours,Temperature Setting Range From 62 To 86 degree F,Programmable 24-Hour On/Off Timer Cools On Your Schedule,Programmable 24-Hour On/Off Timer Cools On Your Schedule,Window kit and exhaust hoses included,Specification,Cooling Capacity:8000BTU,Refrigerant/Charge:R410A/13.4Oz, Power Supply:110V-120V/60Hz,Rated Input:1120W, Rated Current:10.0A,Low Side Pres Sure:250psi, High Side Pres Sure:580psi, Air Flow:380 stere /H, AC Coverage Area (Sq. Ft.):161, Noise:56dB, Temperature Setting Range:62 To 86 degree F, Filter Type:Washable, Exhaust Hose:Single,Length Of Exhaust Hose:11''- 5', Remote Control:Yes, Dimension:12'' x 13'' x 24.5''(LxWxH),Package Includes:1 X Portable AC, 1 X Remote Control,1 X Exhaust Hose, 1 X Window Seal-Plate,Cool, dehumidify, fan and sleep modes,Ideal for home and office use,Dehumidifies up to 50 pints per 24 hours,Temperature setting range from 62 to 86 degrees Fahrenheit ,Programmable 24 hour timer,8000 BTU cooling capacity,Two fan-speed level accessible by LED control panel and remote control,Quick-install window kit and exhaust hoses included,Two-way up/down air deflection circulates air evenly,Costway 8000 BTU air conditioner covers area up to 161 sq ft,Measures 12""L x 13""W x 24.5""H,Refrigerant/charge: R410A/13.4 oz,Power supply: 110V-120V/60Hz,Rated input: 1120 W,Rated current: 10.0 A,Low side pressure: 250 psi,High side pressure: 580 psi,Air flow: 380 m³/H,AC coverage area: 161 sq ft,Noise: 56 dB,Filter type: washable,Exhaust hose can extend from 11"" to 5'",Home Improvement
DeLonghi Pinguino Portable Room Air Conditioner AC Unit (Refurbished),https://www.walmart.com/ip/DeLonghi-Pinguino-Portable-Room-Air-Conditioner-AC-Unit-Refurbished/607811327,339.99,2.0,3,"When the hot, muggy summer hits, you want to stay cool, dry, and comfortable. The certified refurbished Pinguino Portable Air Conditioner does just that. This AC unit keeps you comfortable by combining 4 climate control devices into 1 appliance: an air conditioner, dehumidifier, fan, and heater!Set up this powerful 6.300 BTU air conditioner and dehumidifier in any room up to 500 square feet. This compact air conditioner takes up little space, measuring only 19 inches long, 18 inches wide, and 34 inches tall. It also comes with a complete window kit, meaning you can place this portable air conditioner almost anywhere in your home. Once you've attached the window kit to your window and the AC unit, you can start cooling.This portable air conditioner features thermostat temperature control, 3 fan speeds, fan-only operation, dehumidifier mode, and 24-hour timer. With easy, intuitive controls, you can adjust the setting on your air conditioning unit from the control panel.Whether it's just hot, or hot and humid, or cold you'll stay comfortable with the Pinguino Portable Air Conditioner.","Stay comfortable in your home with this 4-in-1 climate control unit that works as an air conditioner, heater, dehumidifier, and fan in rooms 500 square feet,Compact size, measuring 19 inches long, 18 inches wide, and 34 inches tall and weighing 83 pounds,Features thermostat temperature control, 3 fan speeds, fan-only operation, dehumidifier mode, and 24-hour timer,Portable air conditioner moves easily from room-to-room and comes with window kit for easy installation,Sets up anywhere in your room with an extra-long, 51-inch exhaust hose,Powerful BTU/H 6,300 (1) cooling capacity,Eco-friendly design uses R410A refrigerant,Color: White,Dimensions (L x W x H): 19 x 18 x 34 inches,Weight: 83 pounds,Manufacturer warranty: 30-day warranty",Home Improvement
"Little Star Organic 100% Pure Organic Cotton Fitted Jersey Crib Sheets, 2 Pk, Blue-Wild at Heart",https://www.walmart.com/ip/Little-Star-Organic-100-Pure-Organic-Cotton-Fitted-Jersey-Crib-Sheets-2-Pk-Blue-Wild-at-Heart/403283781,19.99,4.8,37,"Babies Sleep Better in Pure Organic Cotton! Feel great knowing your baby is cuddled up in pure, organic cotton that’s grown and processed without using harsh dyes, produced in an Oeko-Tex Certified facility. Super soft and cozy, yet breathable, and won't irritate a baby's tender, delicate skin. Ensure your Little Star sleeps safe and sound. Pure Organic Cotton that's oh so soft - you've got to feel it to believe it. *Exclusively at Walmart.com"," Pure organic cotton for your baby’s delicate skin, Easy to mix & match. Fashion meets function. Just toss these sheets into the washer and dryer for easy laundry care, Coordinates with Little Star Organic crib bedding sets, changing pads, receiving blankets, swaddles, burp cloths, towels, gowns, hats, bodysuits, and so much more!, Made in a fair trade, sustainable and transparent supply chain. Sweatshop-free production facilities. ",Baby
"Little Star Organic Pure Organic Wearable Blanket, Pink-Modern Blush",https://www.walmart.com/ip/Little-Star-Organic-Pure-Organic-Wearable-Blanket-Pink-Modern-Blush/655785262?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:SIktruJXMs7rqCbVL9ypmltZ9RsnMbLq06T07VksGPhIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA--mQPboNyw1M502Z2OQWKcqyYc8DhzpFFJz1mo8R-mx3aFZCMVRxXNGYPCn89XFvToPEZg33dU94g9smImiLmwDeTlUbFhYJYmKmFXg_f-4lNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=1&wpa_plmt=__plmt__&wpa_aduid=__aduid__,19.99,,0,"Babies Sleep Better in Pure Organic Cotton! Feel great knowing your baby is cuddled up in pure, organic cotton that’s grown and processed without using harsh dyes, produced in an Oeko-Tex Certified facility. Super soft and cozy, yet breathable, and won't irritate a baby's tender, delicate skin. Ensure your Little Star sleeps safe and sound. Pure Organic Cotton that's oh so soft - you've got to feel it to believe it. *Exclusively at Walmart.com",,Baby
"Little Star Organic 100% Pure Organic Cotton Receiving Blanket, 2 Pk, Gray-Little Dreamer",https://www.walmart.com/ip/Little-Star-Organic-100-Pure-Organic-Cotton-Receiving-Blanket-2-Pk-Gray-Little-Dreamer/307721940,14.99,5.0,10,"Babies Sleep Better in Pure Organic Cotton! Feel great knowing your baby is cuddled up in pure, organic cotton that’s grown and processed without using harsh dyes, produced in an Oeko-Tex Certified facility. Super soft and cozy, yet breathable, and won't irritate a baby's tender, delicate skin. Ensure your Little Star sleeps safe and sound. Pure Organic Cotton that's oh so soft - you've got to feel it to believe it. *Exclusively at Walmart.com"," Perfect for burping, naptime, and playtime. Designed for all seasons, both in the home and on the go. Soft and breathable pure organic cotton is the gentlest for your baby's delicate skin., Multi-purpose: Use it for the stroller, car seat, tummy time, naptime, and every other time in between., Coordinates with Little Star Organic crib sets, changing pads, swaddles, reversible quilts, burp cloths, towels, gowns, hats, bodysuits, and so much more!, Made in a fair trade, sustainable and transparent supply chain. Sweatshop-free production facilities. , ",Baby
"Filtrete 16x25x1, Allergen Defense Micro Particle Reduction HVAC Furnace Air Filter, 800 MPR, 1 Filter",https://www.walmart.com/ip/Filtrete-16x25x1-Allergen-Defense-Micro-Particle-Reduction-HVAC-Furnace-Air-Filter-800-MPR-1-Filter/10719987,8.88,4.5,857, ,"OUTPERFORMS FIBERGLASS, WASHABLE AND NON-ELECTROSTATIC 3-month pleated 1 in. home air filters for your furnace, air conditioner or HVAC system,DESIGNED WITH EXCLUSIVE Filtrete™ Brand 3-in-1 technology from 3M to trap unwanted air particles while letting cleaner air flow through,ATTRACTS AND CAPTURES particles such as lint, pollen, dust, pet dander, smoke and smog,800 MPR has a rating of MERV 10,The higher the MPR, the more microparticles--such as pollen, pet dander, smoke, bacteria and viruses--your filter will capture from the air passing through it,FOR OPTIMAL PERFORMANCE of your heating & cooling system or HVAC system, change your home air filter at least every 90 days for 1 in. filters, and at least every 12 months for 4 in. and 5 in. filters,A dirty filter will slow down air flow and make the system work harder to keep you warm or cool--wasting energy. Sign-up for a filter change reminder program (www.filtrete.com/ChangeReminders) that works for you!,FOR RESIDENTIAL use only,CREATE A CHANGE COUNTDOWN in the Filtrete™ Smart app. Simply use the app to scan the barcode on your filter’s packaging, then choose 30, 60 or 90 days for your replacement countdown. When the lifespan is up, you’ll get a notification to change your filter",Home Improvement
"Filtrete 16x25x1, Healthy Living Advanced Allergen Reduction HVAC Furnace Air Filter, 1500 MPR, Pack of 4 Filters",https://www.walmart.com/ip/Filtrete-16x25x1-Healthy-Living-Advanced-Allergen-Reduction-HVAC-Furnace-Air-Filter-1500-MPR-Pack-of-4-Filters/37532019,57.17,4.7,1288, ,"OUTPERFORMS FIBERGLASS, WASHABLE AND NON-ELECTROSTATIC 3-month pleated 1 in. home air filters for your furnace, air conditioner or HVAC system,DESIGNED WITH EXCLUSIVE Filtrete™ Brand 3-in-1 technology from 3M to trap unwanted air particles while letting cleaner air flow through,ATTRACTS AND CAPTURES microscopic particles such as smoke, cough and sneeze debris, bacteria and viruses--and large particles, including lint, household dust and pollen,1500 MPR has a rating of MERV 12,The higher the MPR, the more microparticles--such as pollen, pet dander, smoke, bacteria and viruses--your filter will capture from the air passing through it,54% SMALL PARTICLE CAPTURE, like bacteria and particles that carry viruses* (* % captured is based on ASHRAE 52.2 testing for 0.3 to 1 micron particles from the air passing through the filter, which relates to HVAC industry standard efficiency testing),CERTIFIED as asthma & allergy friendly™* (*As outlined in report ASCR: 1246-01),FIND YOUR SIZE: 1500 MPR available in 4 in. , 4 in. slim fit and 5 in. thick air filters,FOR OPTIMAL PERFORMANCE of your heating & cooling system or HVAC system, change your home air filter at least every 90 days for 1in. filters, and at least every 12 months for 4 in. and 5 in. filters,A dirty filter will slow down air flow and make the system work harder to keep you warm or cool--wasting energy. Sign-up for a filter change reminder program (www.filtrete.com/ChangeReminders) that works for you!,FOR RESIDENTIAL use only,CREATE A CHANGE COUNTDOWN in the Filtrete™ Smart app. Simply use the app to scan the barcode on your filter’s packaging, then choose 30, 60 or 90 days for your replacement countdown. When the lifespan is up, you’ll get a notification to change your filter",Home Improvement
"Huggies Special Delivery Baby Diapers, Hypoallergenic, Size Newborn (up to 10 lbs.), 66 Ct, Giga Jr. Pack",https://www.walmart.com/ip/Huggies-Special-Delivery-Baby-Diapers-Hypoallergenic-Size-Newborn-up-to-10-lbs-66-Ct-Giga-Jr-Pack/761678682,24.94,4.6,4566,"Introducing Our Perfect Diaper, Huggies Special Delivery Baby Diapers are inspired by your perfect care for your baby. Huggies Special Delivery is our softest, plant-based* diaper ever, with up to 12 hours of trusted leakage protection that helps to keep your baby's skin dry & comfortable. Made with plant-based* materials including sugar cane and fluff pulp, Special Delivery diapers contain no harsh ingredients, are clinically proven to be hypoallergenic, and are dermatologist tested. Plus like all Huggies diapers, Special Delivery diapers are paraben-free, fragrance-free, and free of elemental chlorine bleaching. Featuring adorable designs for your baby, Huggies Special Delivery disposable diapers also include a wetness indicator, helping you know when It's time for a diaper change. Huggies Special Delivery infant diapers come in sizes Newborn (up to 10 lb.), 1 (up to 14 lb.), 2 (12-18 lb.), 3 (16-28 lb.), 4 (22-37 lb.), 5 (27+ lb.), 6 (35+ lb.). Join Huggies Rewards to earn points on every pack of Huggies diapers and wipes you purchase. Points are redeemable for products, gift cards, sweepstakes, and more. You'll also receive exclusive diaper coupons, offers, and updates. *23% by weight","Our softest diaper ever Huggies best combination of premium softness and performance to help keep your baby's skin healthy & comfortable,Outstanding leakage protection Huggies Leak Lock system locks away moisture for up to 12 hours, plus wetness indicator changes color when it's time for a diaper change,Breathable for sensitive skin Soft, breathable outer layer provides maximum airflow to help keep your baby's skin dry,Hypoallergenic and made with plant-based* materials including sugar cane,Exclusive, adorable diaper designs for your baby,Newborn sizes include an umbilical cord cutout to protect healing belly buttons,from domestic and imported material",Baby
"Aveeno Baby Sensitive All Over Wipes, Fragrance-Free, 6 packs of 56 ct",https://www.walmart.com/ip/Aveeno-Baby-Sensitive-All-Over-Wipes-Fragrance-Free-9-packs-of-56-ct/399917572,18.92,4.6,446,"Gently cleanse your baby's skin and leave it feeling moisturized with Aveeno Baby Sensitive All Over Wipes. Suitable for use from birth, these large and durable wipes leave baby's sensitive skin smooth, soothed, and comfortable. These pH-balanced cleansing wipes are travel-friendly and have a 99% naturally derived formula* enriched with natural oat extract and aloe to moisturize your baby's skin. They are made of thick, soft fibers, making them ideal for use on baby's bottom, hands and face. The easy open, one-wipe at a time package is great for quick cleanups at home or on-the-go and is resealable to maintain moisture. Accepted by the National Eczema Association, and from a pediatrician- and dermatologist-recommended brand, these unscented baby wipes are hypoallergenic and free of parabens, phthalates, fragrance, alcohol, and phenoxyethanol. *Based upon cumulative volume of ingredients using ISO/DIS16128 (water included)","Disposable baby cleansing wipes for all-over use on baby's bottom, hands, and face,Gently cleanses and moisturizes, leaving baby's sensitive skin feeling smooth and comfortable,Hypoallergenic and pH balanced, the travel baby wet wipes are safe for use from birth,99% naturally derived formula* (*Based on cum. volume of ingredients using ISO/DIS 16128 (water incl)),Paraben-, phthalate-, fragrance-, alcohol- & phenoxyethanol-free and are gentle for baby,A pediatrician- & dermatologist-recommended brand; accepted by the National Eczema Association,Wipes are large with thick, soft fibers, in package with resealable sticker top to maintain moisture,For easy cleanup at home or while traveling, cleansing wipes are convenient for on-the-go parents",Baby
