title,url,price,avg_review,num_reviews,desc_text,desc_list,prod_category
"Nintendo Switch Lite Console, Turquoise",https://www.walmart.com/ip/Nintendo-Switch-Lite-Console-Turquoise/306029956,199.00,4.6,1235,"Introducing Nintendo Switch Lite, a new version of the Nintendo Switch system that's optimized for personal, handheld play. Nintendo Switch Lite is a small and light Nintendo Switch system at a great price. With a built-in +Control Pad, and a sleek, unibody design, Nintendo Switch Lite is great for on-the-go gaming. Nintendo Switch Lite is compatible with popular games such as Super Mario Odyssey, Mario Kart 8 Deluxe, Super Smash Bros. Ultimate, The Legend of Zelda: Breath of the Wild, and more. If you're looking for a gaming system all your own, Nintendo Switch Lite is ready to hit the road whenever you are.Handheld Nintendo Switch gaming at a great price; For every member of your family, there's a member of ours; Optimized for personal, handheld play, Nintendo Switch Lite is a small and light Nintendo Switch system; Features a sleek, unibody design with fully integrated controls and a built-in +Control Pad; Compatible with all physical and digital Nintendo Switch games that support Handheld mode",,Video Games
"Skywalker Trampolines 12' Trampoline, with Safety Enclosure, Blue",https://www.walmart.com/ip/Skywalker-Trampolines-12-Trampoline-with-Safety-Enclosure-Blue/36779426?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:j4R162-zf9GObEi4BGZKl_P7xocOdjuIkIn_yUxM3mNIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA9LdSPIfs4Sxg0Icj_C5pfTxltRzq-qrw6Jvj59bXt4D5x5SHyOI0e4tHrIAU7mCX7VxI8Xm5D7-7OYkcHTX7qPIs_u399gjajIOjeQxSSkF4t1OCtD9WKsGqRyfP49k9w&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=1&wpa_plmt=__plmt__&wpa_aduid=__aduid__,299.00,4.6,803,"Your family will love the Skywalker Trampolines 12' Round Trampoline with Enclosure! This traditional round trampoline is a great fit for children of all sizes and provides plenty of jumping space. A patented no-gap enclosure system interlocks the jump mat and enclosure net at each spring, eliminating dangerous gaps and giving parents peace of mind (Patent #RE45, 182). The framework is made of weather and rust-resistant galvanized steel, providing extra protection for years to come. The Skywalker Trampolines 12' Round Trampoline with Enclosure is the perfect way to create lasting family memories.Skywalker Trampolines 12’ Round Trampoline with Enclosure, Blue",,Sports & Outdoors
Federal Couragia M/T 35X12.50R20 E Tire,https://www.walmart.com/ip/Federal-Couragia-M-T-35X12-50R20-E-Tire/168827347?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:IJgYyPjAVh83NWPcInyHCIAZbJWr-f-MEeIxkYhwNqOdR3a1pUd32HLHulnPGEyAgQSJ6odAn4kKNkJmVifRILr7LIF3ZvPYJ3TLmFCwiW7o8X04e444NgdDBDGUeK9ZitDTx4Hk3-mn9BV2fxygt1kLam3XYNTd0Vdhzf84xHUP7mijNMql2ZiiaRLtoCPFzvutgEcxFvKSYet36H1sSQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=1&wpa_plmt=__plmt__&wpa_aduid=__aduid__,176.28,4.6,264,"The Federal Couragia M/T has a rugged off-road performance and a confident look. With unprecedented traction, grip and strength this tire competes in every category, and with its aggressive tread design was engineered to clear out easily and create a constant performance range. The Couragia M/T's aggressive block and shoulder offer great dirt traction and rock crawling ability, along with mud and gravel slinging happiness. Be assured, the Federal ultimate off-road Couragia M/T has been designed to conquer.","The Couragia M/T is a mud tire that's built for use on light trucks and SUVs,Reinforced compounds contribute to exceptional durability against cuts, chips, and abrasions.,Aggressive tread design and strengthened shoulder deliver excellent traction and protection from off-road impact.,Optimized block design increases off-road traction and control.,Incremental block edges quickly remove dirt, sand, and gravel for consistent off-road traction",Auto & Tires
Costway 8000 BTU Portable Air Conditioner & Dehumidifier Function Remote w/ Window Kit,https://www.walmart.com/ip/Costway-8000-BTU-Portable-Air-Conditioner-Dehumidifier-Function-Remote-w-Window-Kit/475621529?wpa_bd=&wpa_pg_seller_id=E6EA4CDBA9CB4F54BB3775F6F818B84A&wpa_ref_id=wpaqs:Q15Kfc4aRLq69Jz-4IZwiry9k_-xADNviTRl81Y5zZjqtn9gA37kWDuLvySVDRem8mtM0fAiqNC2pvsXY646B7Q5FlQyMfZjsC6fVslWrt3qor3Vrqryegy_MjB2FLKAitDTx4Hk3-mn9BV2fxygt1kLam3XYNTd0Vdhzf84xHVb5AHzbqo-2_8gFqtJJVKpzvutgEcxFvKSYet36H1sSQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=1&wpa_plmt=__plmt__&wpa_aduid=__aduid__,279.99,4.2,172,Notice: Not sold to consumers located in California,"Offers Cooling, Dehumidify Fan And Sleep Modes, Ideal For Home And Office Use, Two Fan-Speed Level Accessible By LED Display Panel Control And Remote Control, Dehumidification up to 50 pints per 24 hours,Temperature Setting Range From 62 To 86 degree F,Programmable 24-Hour On/Off Timer Cools On Your Schedule,Programmable 24-Hour On/Off Timer Cools On Your Schedule,Window kit and exhaust hoses included,Specification,Cooling Capacity:8000BTU,Refrigerant/Charge:R410A/13.4Oz, Power Supply:110V-120V/60Hz,Rated Input:1120W, Rated Current:10.0A,Low Side Pres Sure:250psi, High Side Pres Sure:580psi, Air Flow:380 stere /H, AC Coverage Area (Sq. Ft.):161, Noise:56dB, Temperature Setting Range:62 To 86 degree F, Filter Type:Washable, Exhaust Hose:Single,Length Of Exhaust Hose:11''- 5', Remote Control:Yes, Dimension:12'' x 13'' x 24.5''(LxWxH),Package Includes:1 X Portable AC, 1 X Remote Control,1 X Exhaust Hose, 1 X Window Seal-Plate,Cool, dehumidify, fan and sleep modes,Ideal for home and office use,Dehumidifies up to 50 pints per 24 hours,Temperature setting range from 62 to 86 degrees Fahrenheit ,Programmable 24 hour timer,8000 BTU cooling capacity,Two fan-speed level accessible by LED control panel and remote control,Quick-install window kit and exhaust hoses included,Two-way up/down air deflection circulates air evenly,Costway 8000 BTU air conditioner covers area up to 161 sq ft,Measures 12""L x 13""W x 24.5""H,Refrigerant/charge: R410A/13.4 oz,Power supply: 110V-120V/60Hz,Rated input: 1120 W,Rated current: 10.0 A,Low side pressure: 250 psi,High side pressure: 580 psi,Air flow: 380 m³/H,AC coverage area: 161 sq ft,Noise: 56 dB,Filter type: washable,Exhaust hose can extend from 11"" to 5'",Home Improvement
Eddie Bauer First Ascent Men's Microtherm 2.0 Stormdown Jacket,https://www.walmart.com/ip/Eddie-Bauer-First-Ascent-Men-s-Microtherm-2-0-Stormdown-Jacket/852925272,137.40,4.1,703,,,Clothing
Eddie Bauer Men's Guide Pro Shorts,https://www.walmart.com/ip/Eddie-Bauer-Men-s-Guide-Pro-Shorts/943056278,42.00,5.0,1,,,Clothing
Boxercraft Adult Fashion Color Gaiter Face Mask,https://www.walmart.com/ip/Boxercraft-Adult-Fashion-Color-Gaiter-Face-Mask/145069105,7.95,,0,,,Clothing
DALIX Cloth Face Mask Reuseable Washable in Black Made in USA - L-XL Size (3 Pack),https://www.walmart.com/ip/DALIX-Cloth-Face-Mask-Reuseable-Washable-in-Black-Made-in-USA-L-XL-Size-3-Pack/526358906,15.99,4.3,1016,,,Clothing
5Pcs Unisex Variety Pack Face Mask Protect Reusable Comfy Washable Made In USA Masks,https://www.walmart.com/ip/5Pcs-Unisex-Variety-Pack-Face-Mask-Protect-Reusable-Comfy-Washable-Made-In-USA-Masks/967506098,24.95,,0,,,Clothing
Tungsten Wedding Band Ring 7mm for Men Women Comfort Fit Domed Round Polished Lifetime Guarantee,https://www.walmart.com/ip/Tungsten-Wedding-Band-Ring-7mm-for-Men-Women-Comfort-Fit-Domed-Round-Polished-Lifetime-Guarantee/188978369,19.77,4.5,115,,,Clothing
